permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
none,1,43,25.036368829782596,0.9794206781789394,20.36001890325615,Bootstrap01
none,1,43,34.31772750607524,0.9608297555266755,27.87185714169641,Bootstrap02
none,1,43,33.26414737435029,0.9603892831002979,27.786817800250613,Bootstrap03
none,1,43,25.050691176042115,0.9681824102540834,19.12888911908414,Bootstrap04
none,1,43,26.637316789411614,0.9673155813575681,21.056735318501786,Bootstrap05
none,1,43,31.58914010108767,0.9781305138633603,24.827609572568264,Bootstrap06
none,1,43,28.248934619297568,0.9656903287404566,22.256723459989644,Bootstrap07
none,1,43,25.70570566446898,0.9716195028085123,20.578802754097815,Bootstrap08
none,1,43,20.824686951793417,0.9777959165224193,17.45466274469007,Bootstrap09
none,1,43,27.326957643965915,0.959183676246964,21.415923888718783,Bootstrap10
none,2,44,25.16075351045613,0.9680263553012103,19.337557906275027,Bootstrap01
none,2,44,23.899228199762117,0.9758410547387119,19.021251407503495,Bootstrap02
none,2,44,26.189932029719607,0.9680957875583899,22.95676628712064,Bootstrap03
none,2,44,31.225391371052147,0.9615621803991267,26.21307491915751,Bootstrap04
none,2,44,24.867232344505183,0.9650899308389602,19.1443941500232,Bootstrap05
none,2,44,25.829027798639217,0.974146049943453,22.11958145795216,Bootstrap06
none,2,44,24.480958053913678,0.9730698114089179,20.863185647280385,Bootstrap07
none,2,44,30.702812782991035,0.9539613936972937,24.800439020744975,Bootstrap08
none,2,44,24.71850945835084,0.9763860930928115,19.137472407650154,Bootstrap09
none,2,44,28.90593553800485,0.9663710653993994,22.99745005461312,Bootstrap10
none,3,45,27.991689017722674,0.9674809525319957,21.907594435770136,Bootstrap01
none,3,45,32.307102941707555,0.9679560496547461,25.53388556786693,Bootstrap02
none,3,45,32.21492654174591,0.968583793827974,26.438682806486938,Bootstrap03
none,3,45,25.891296491171786,0.9719892666701736,20.2085406947289,Bootstrap04
none,3,45,28.823913949593827,0.9745043971944087,21.513011841089696,Bootstrap05
none,3,45,29.11520558421059,0.9674359842511232,23.574046797240918,Bootstrap06
none,3,45,33.15049590363503,0.9499998748651977,27.656879061369878,Bootstrap07
none,3,45,29.606636653382907,0.9603758061515874,23.869440758244114,Bootstrap08
none,3,45,26.129350775579272,0.9761956143302585,20.261063860508433,Bootstrap09
none,3,45,28.530980507965626,0.9620805524891071,22.955525339684744,Bootstrap10
none,4,46,29.246163887169104,0.9517893255102271,24.842781346024836,Bootstrap01
none,4,46,34.65680922819642,0.9648971840216962,26.660038426125226,Bootstrap02
none,4,46,29.749014835792895,0.9523429453715537,23.39441858009284,Bootstrap03
none,4,46,27.423274850288884,0.9775629346626057,22.14863092324112,Bootstrap04
none,4,46,27.96159464834909,0.9688219956500902,23.62648282184597,Bootstrap05
none,4,46,32.79778347638687,0.957305628424977,26.536819581098424,Bootstrap06
none,4,46,27.725102260339114,0.9648587769277817,22.35986534401679,Bootstrap07
none,4,46,29.187146549195862,0.9650640934746686,22.81423955861683,Bootstrap08
none,4,46,26.924128122077136,0.9617123032392046,22.3967862659051,Bootstrap09
none,4,46,25.18790795981391,0.9638631303565509,21.051259991106594,Bootstrap10
none,5,47,27.006921916194553,0.9590483695062132,22.471599678365262,Bootstrap01
none,5,47,30.976916667483785,0.9650224938112337,23.9896866279591,Bootstrap02
none,5,47,33.65503317348413,0.9685166143737904,28.356920109110206,Bootstrap03
none,5,47,27.104420784915586,0.9755082346308064,22.692669572219433,Bootstrap04
none,5,47,27.00927864135547,0.972516678228515,23.071188600690533,Bootstrap05
none,5,47,26.665561191077497,0.9714203031195492,20.05548915915918,Bootstrap06
none,5,47,25.761538152036337,0.9670245870273889,21.867906310606624,Bootstrap07
none,5,47,28.05120502995122,0.9654061119029238,23.25691401775966,Bootstrap08
none,5,47,26.533784536482003,0.9632086600512076,22.084466643980747,Bootstrap09
none,5,47,25.173364458829052,0.9784543377970056,20.801133359065382,Bootstrap10
none,6,48,26.80384666175064,0.9650188201302102,21.516116730165162,Bootstrap01
none,6,48,29.861417221210587,0.9680129482500709,25.191005755193164,Bootstrap02
none,6,48,25.866309230696963,0.9785207352064687,21.245379600188784,Bootstrap03
none,6,48,25.74291998893537,0.9814736068223244,19.35142791492533,Bootstrap04
none,6,48,29.72033983762074,0.9705063836645458,24.713533090558474,Bootstrap05
none,6,48,25.28849802695688,0.9666371402191138,20.604415658546095,Bootstrap06
none,6,48,25.71689677478096,0.9732827133289976,21.357614536589704,Bootstrap07
none,6,48,21.314243125455107,0.9828900683688245,17.62865930154118,Bootstrap08
none,6,48,28.776396057166558,0.9661913765941915,24.133992729863753,Bootstrap09
none,6,48,27.137197000122374,0.9709045594114705,22.90162518881624,Bootstrap10
none,7,49,24.521212327001095,0.9649986812575465,21.264972673669053,Bootstrap01
none,7,49,29.58415903194271,0.9708072711250597,24.101740614088794,Bootstrap02
none,7,49,27.198277698237753,0.9703683204984348,21.450793565516832,Bootstrap03
none,7,49,34.49079376839798,0.9612575323332323,26.28955208693839,Bootstrap04
none,7,49,26.38573499850874,0.9705509801738186,21.43339343988133,Bootstrap05
none,7,49,30.145212070360802,0.9601388720958157,23.342781069788835,Bootstrap06
none,7,49,34.810290514927154,0.9587964570068517,27.08443788636364,Bootstrap07
none,7,49,28.624027160119862,0.9734346378400032,22.71669800809077,Bootstrap08
none,7,49,26.32566559881408,0.9774277021104477,22.13001406451654,Bootstrap09
none,7,49,27.182460387346744,0.9679456085684104,21.401993622628105,Bootstrap10
none,8,50,24.563360723353703,0.9638449512198989,19.06662357322119,Bootstrap01
none,8,50,23.551208384113803,0.9745960972606166,18.569884609626587,Bootstrap02
none,8,50,24.134665251693335,0.97602824838092,19.45773353869745,Bootstrap03
none,8,50,26.041341362318377,0.9692784507826812,20.731777202891024,Bootstrap04
none,8,50,30.63091741125865,0.9734896973986708,25.651981132351256,Bootstrap05
none,8,50,22.74699909423423,0.9710920888915469,18.61451559990455,Bootstrap06
none,8,50,29.667703106897928,0.9505856780324183,22.983796587869683,Bootstrap07
none,8,50,28.88710049747262,0.9686089875490707,23.29164564775165,Bootstrap08
none,8,50,29.038707881058343,0.9699682172882754,23.13840207654097,Bootstrap09
none,8,50,27.659531609042286,0.9621051076854473,22.197802485226887,Bootstrap10
none,9,51,30.95927997433384,0.9654482356643522,25.02828712079479,Bootstrap01
none,9,51,29.099030146317705,0.9672966410740373,23.022802438273885,Bootstrap02
none,9,51,24.685039387776214,0.9728186058432192,18.33072542571004,Bootstrap03
none,9,51,35.92629344163308,0.9407158420264691,27.833509226286115,Bootstrap04
none,9,51,33.819981403228795,0.9442514400203669,28.13827631671269,Bootstrap05
none,9,51,28.535188099582175,0.9677052951179512,22.49191613208524,Bootstrap06
none,9,51,27.04927758172387,0.9715409970489954,22.554159713416734,Bootstrap07
none,9,51,28.312117297395048,0.9702230407343884,22.257490839508538,Bootstrap08
none,9,51,28.17386268331978,0.9640050327014382,22.298934257092736,Bootstrap09
none,9,51,31.863166449143936,0.9699465346943978,26.090810366365606,Bootstrap10
none,10,52,27.06997823623571,0.9660542615645247,22.997739194922246,Bootstrap01
none,10,52,30.02225076528679,0.9832342321731361,23.82760634757476,Bootstrap02
none,10,52,29.421726368434552,0.9654536957941192,24.769186186053087,Bootstrap03
none,10,52,27.769759925394577,0.9699429149858143,21.629444231742248,Bootstrap04
none,10,52,28.840522486015814,0.9780763580820546,23.372181674560427,Bootstrap05
none,10,52,29.646466466773347,0.9586011317605668,24.433332147659932,Bootstrap06
none,10,52,26.808060554699036,0.976027077023632,21.089178533930895,Bootstrap07
none,10,52,24.92109524356422,0.9719289130579082,21.533205062816783,Bootstrap08
none,10,52,28.004355406020476,0.9625070643987924,23.699560880692058,Bootstrap09
none,10,52,28.445020362139463,0.951092705582439,24.308326717935945,Bootstrap10
none,11,53,29.954412338964637,0.9772044248765661,24.456197811615606,Bootstrap01
none,11,53,21.67486427999072,0.9848066561594534,17.92113604064687,Bootstrap02
none,11,53,31.43570771507934,0.9688021046833136,25.529583231688797,Bootstrap03
none,11,53,31.558532803060483,0.9683225421944114,22.4369335540784,Bootstrap04
none,11,53,29.216184380147286,0.9614064967484505,24.106434579231422,Bootstrap05
none,11,53,30.167625084304806,0.962732385719805,24.937121438013666,Bootstrap06
none,11,53,26.56373875421175,0.9666507642303712,23.051733073066547,Bootstrap07
none,11,53,32.80591223959259,0.9672969197578494,24.787929216581208,Bootstrap08
none,11,53,28.238894762001795,0.9701202000411823,23.285977047174377,Bootstrap09
none,11,53,21.57735844825548,0.9766568236385276,17.809479549064775,Bootstrap10
none,12,54,25.468647106346236,0.9685840216899271,21.198118355291815,Bootstrap01
none,12,54,29.592071875161427,0.9664170439930018,23.8720142178121,Bootstrap02
none,12,54,34.32886518153007,0.9608895787496103,26.999391935599814,Bootstrap03
none,12,54,31.065351220085162,0.9682665137909133,26.916295139074506,Bootstrap04
none,12,54,25.833900423840536,0.9742426451788616,20.28039921762466,Bootstrap05
none,12,54,30.115920028279003,0.9773672256881702,24.870574702095478,Bootstrap06
none,12,54,29.650162997897343,0.976120226490272,23.456243877573108,Bootstrap07
none,12,54,26.542739208540084,0.9734107228740012,20.37903718522068,Bootstrap08
none,12,54,31.07551638467335,0.9694075678596712,25.65987420378782,Bootstrap09
none,12,54,27.47627967130936,0.9641859482671498,22.80436476636533,Bootstrap10
none,13,55,23.85924455543689,0.9786470773247573,19.812368972804425,Bootstrap01
none,13,55,28.144549957393167,0.9692044160999859,23.163721765975986,Bootstrap02
none,13,55,28.5820847022993,0.9697591904122004,21.563924338537436,Bootstrap03
none,13,55,26.990720535164822,0.9562538867193421,21.41255280972622,Bootstrap04
none,13,55,33.09148554652279,0.9620800786202132,27.06470549476904,Bootstrap05
none,13,55,25.756373708740544,0.9602588789562374,21.722478029120417,Bootstrap06
none,13,55,26.264964394613553,0.9717029368912025,22.002329493033432,Bootstrap07
none,13,55,26.7252591331823,0.971421147082837,20.665568376558923,Bootstrap08
none,13,55,24.523506916744342,0.9734704880327836,19.598523386833126,Bootstrap09
none,13,55,29.364993225211684,0.9677603393298752,22.608511429252076,Bootstrap10
none,14,56,26.839090228967446,0.9641943982903902,22.524218448422793,Bootstrap01
none,14,56,32.89730363786926,0.9555655654205801,28.271702647293957,Bootstrap02
none,14,56,31.2598698271021,0.9639800862573692,26.0892488591101,Bootstrap03
none,14,56,28.932843236675616,0.9768920850701152,24.508116679739167,Bootstrap04
none,14,56,27.55055618802613,0.9617093466282742,21.568169635254076,Bootstrap05
none,14,56,25.925577273382082,0.962558599015959,21.860104416047463,Bootstrap06
none,14,56,32.399943665500295,0.9714306934847483,25.173622744156457,Bootstrap07
none,14,56,27.426235260647626,0.9771353245585978,22.819895598098693,Bootstrap08
none,14,56,30.97259090126064,0.9684107076027847,23.332341478372634,Bootstrap09
none,14,56,26.382558975335325,0.9548122277460923,21.839653279222848,Bootstrap10
none,15,57,24.208475176051,0.9573180168056745,19.53117774011653,Bootstrap01
none,15,57,29.170733684483874,0.9780721404102655,24.095751862622436,Bootstrap02
none,15,57,26.95803311194075,0.9754033479974216,21.909345475996904,Bootstrap03
none,15,57,27.62996782165036,0.9542802821739351,22.700159909645457,Bootstrap04
none,15,57,24.717923748225207,0.979553199598518,19.84151934358279,Bootstrap05
none,15,57,34.85645718535514,0.9564431418429715,29.20337368538018,Bootstrap06
none,15,57,27.500398157646384,0.9727394527539323,22.226789570172993,Bootstrap07
none,15,57,29.21738537702954,0.9637851455145617,23.417048680080615,Bootstrap08
none,15,57,26.68113661280385,0.9686456552245372,22.361734674408734,Bootstrap09
none,15,57,24.525798504481312,0.976936443727658,19.57302373175322,Bootstrap10
none,16,58,30.96486557688808,0.9690713893722126,25.131386285647835,Bootstrap01
none,16,58,28.995037823151957,0.9631738968257351,23.410341262255187,Bootstrap02
none,16,58,25.024848383593664,0.960034164973212,21.604292971824794,Bootstrap03
none,16,58,23.619345211159356,0.9733647485088536,18.680314736483624,Bootstrap04
none,16,58,25.517405151723054,0.9714845562754636,21.65444992350408,Bootstrap05
none,16,58,24.759966601649147,0.9754099078509076,20.44982311203879,Bootstrap06
none,16,58,31.921544186741006,0.9656585089312871,25.41223823099087,Bootstrap07
none,16,58,26.632891813705463,0.9616678206104167,22.36561003850359,Bootstrap08
none,16,58,28.498043008190926,0.973042206589518,21.63104718114824,Bootstrap09
