permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
features,1,43,146.75030801501703,0.19624298095213996,113.9087296445063,Bootstrap01
features,1,43,151.29421669348804,0.31209874509563124,118.27772065038603,Bootstrap02
features,1,43,139.29545928526372,0.10389856556356288,116.5109444276318,Bootstrap03
features,1,43,133.94855251072136,0.05965175523586796,99.33217272699949,Bootstrap04
features,1,43,136.92709122751316,0.21531087145213795,114.9576322462824,Bootstrap05
features,1,43,144.39929117696772,0.3269695497759868,112.61222339925372,Bootstrap06
features,1,43,139.32492788001235,0.1740264604533247,107.45178987218647,Bootstrap07
features,1,43,129.4056445541042,0.22638550085487058,100.9552848031823,Bootstrap08
features,1,43,163.06183699941258,0.05214803017985288,124.38205172447671,Bootstrap09
features,1,43,129.31709369461183,0.20238766950261144,99.99850965136301,Bootstrap10
features,2,44,150.67958015658942,0.001914139784992173,121.87818853469776,Bootstrap01
features,2,44,161.31070241143,0.005123088128233071,123.42412109595453,Bootstrap02
features,2,44,150.61333722866385,0.0056499414963468355,120.08603833859384,Bootstrap03
features,2,44,164.03856118579012,0.017916403747633803,119.66515292854568,Bootstrap04
features,2,44,142.98250030547032,0.008344349771107472,100.66314964118283,Bootstrap05
features,2,44,181.43630936975538,0.0020536542963115957,145.27456401030673,Bootstrap06
features,2,44,134.27045563774354,0.02368571876242002,110.25047197944556,Bootstrap07
features,2,44,152.36523546770204,0.003596711326875582,119.32716416659284,Bootstrap08
features,2,44,150.27221477344187,0.01250058321589279,116.38209240338594,Bootstrap09
features,2,44,155.25200619652728,0.013370806962843599,117.60457434526535,Bootstrap10
features,3,45,166.79681722114773,0.0026632979649650014,138.82892090742627,Bootstrap01
features,3,45,169.6066875919075,0.0011755058757934153,133.72990789615474,Bootstrap02
features,3,45,193.37737453905734,0.04469961227646261,166.57562833230492,Bootstrap03
features,3,45,173.81195900251512,0.006133624460669239,149.69393145147862,Bootstrap04
features,3,45,173.90752136157423,4.516819357910356e-5,140.44054255618428,Bootstrap05
features,3,45,147.3317770215642,0.008645456883574699,125.03677344131557,Bootstrap06
features,3,45,174.9414918818324,0.017980904496212292,135.41545306506677,Bootstrap07
features,3,45,164.69036760631096,0.028523721941454642,134.02265654036535,Bootstrap08
features,3,45,164.97323285872318,4.5880443615751495e-5,130.54939658647456,Bootstrap09
features,3,45,162.49312928454395,8.821349890526817e-4,122.28260747224829,Bootstrap10
features,4,46,110.37775174789229,0.43004266214826914,89.63539759587482,Bootstrap01
features,4,46,165.0544554392592,0.2807654380490326,133.77770552796122,Bootstrap02
features,4,46,97.46706089649312,0.4547108721801261,81.42332104764878,Bootstrap03
features,4,46,112.78503703612927,0.34103412510758935,88.36338549760981,Bootstrap04
features,4,46,123.00047972443915,0.3330691242965317,98.54771152703894,Bootstrap05
features,4,46,139.73275803711266,0.21402439972078083,114.44436018558662,Bootstrap06
features,4,46,130.13240837756175,0.22254394310207773,98.39699180327142,Bootstrap07
features,4,46,128.7266278519004,0.31058861966935275,99.27984823440585,Bootstrap08
features,4,46,132.9328818002539,0.30519883683247195,107.23173991012855,Bootstrap09
features,4,46,115.65394452789938,0.3423433569589907,91.84301580967966,Bootstrap10
features,5,47,157.43144841379313,1.459580841613013e-4,126.01344901926335,Bootstrap01
features,5,47,168.39669398255626,0.008332177906499127,134.0095562526832,Bootstrap02
features,5,47,186.9269733726255,0.027411154947036283,153.42159517576462,Bootstrap03
features,5,47,177.32807886552493,0.008718470000928315,142.02112991468294,Bootstrap04
features,5,47,155.4052374949308,0.006259668049293219,127.68305544037324,Bootstrap05
features,5,47,167.21448119210095,0.005708752291175026,133.92207968185687,Bootstrap06
features,5,47,152.5951652445835,0.016812001485034467,118.20857760436022,Bootstrap07
features,5,47,147.3425643622428,0.019812414111249742,111.95838639618378,Bootstrap08
features,5,47,158.75576776547834,2.733533941670486e-4,132.6010630243971,Bootstrap09
features,5,47,188.82259558828645,0.015808476509474177,154.22454084261256,Bootstrap10
features,6,48,134.6272219050292,0.13545882304058332,115.44953585375325,Bootstrap01
features,6,48,154.4622552212505,0.165224486325937,121.72620820983528,Bootstrap02
features,6,48,154.8450778666307,0.2569421645836221,115.73323862433021,Bootstrap03
features,6,48,142.29423400837328,0.23116870508234924,109.98706020172061,Bootstrap04
